WazaID	ExtentionType	Type	Category	DamageType	Power	CriticalRank	HpRecoverRatio	ShrinkPer	SickParamSickID	SickParamPer	SickParamSickCont	SickParamSickTurnMin	SickParamSickTurnMax	RankEffect0Type	RankEffect0Value	RankEffect0Per	RankEffect1Type	RankEffect1Value	RankEffect1Per	RankEffect2Type	RankEffect2Value	RankEffect2Per	DamageRecoverRatio	DamageDrainRatio	IsGuard	IsAvoidByFloat	IsTouch	IsCut	IsWind	CanThroughMigawari	CanMeltFrozen	IsHpRecover	IsKaihukuHuuziEnable	IsYubiWoHuruPermit	IsSick	IsMamoruEnable	CantKill	ValueEffectRatio
85	0	12	4	2	90	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
442	0	8	0	1	80	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
231	0	8	6	1	100	0	0	0	0	0	0	0	0	2	-1	30	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
710	0	10	6	1	85	0	0	0	0	0	0	0	0	2	-1	20	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
453	0	10	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
392	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	True	False	True	False	False	False	0
399	0	16	0	2	80	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
204	0	17	2	0	0	0	0	0	0	0	0	0	0	1	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
91	0	4	0	1	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
234	0	0	3	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	True	True	True	False	False	False	0
109	0	7	1	0	0	0	0	0	6	100	2	2	5	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
555	0	16	6	2	55	0	0	0	0	0	0	0	0	3	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	True	False	0
61	0	10	6	2	65	0	0	0	0	0	0	0	0	5	-1	10	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
586	0	0	0	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
223	0	1	4	1	100	0	0	0	6	100	2	2	5	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
418	0	8	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
339	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	100	2	1	100	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
344	0	12	4	1	120	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	-25	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
521	0	12	0	2	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
542	0	2	4	2	110	0	0	0	6	30	2	2	5	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	False	False	False	True	False	True	False	0
693	0	16	0	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
413	0	2	0	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-33	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
153	0	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
126	0	9	4	2	110	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
414	0	4	6	2	90	0	0	0	0	0	0	0	0	4	-1	10	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
591	0	5	7	1	100	0	0	0	0	0	0	0	0	2	1	50	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	True	False	0
441	0	3	4	1	120	0	0	0	5	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
84	0	12	4	2	40	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
98	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
86	0	12	1	0	0	0	0	0	1	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
